what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036637394
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036641683
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036644869
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036663201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036668193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036674851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036678478
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1720036681743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036688037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036692496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036697048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036699056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036699088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036701302
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720036701318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036705696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036709025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036712937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036714904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036714929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036716513
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720036716529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036717721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036737096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036743459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036765602
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036768648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036770265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036771883
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1720036775088
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036780411
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1720036784917
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036785199
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036794310
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036794561
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036794750
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036795049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036801015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036830888
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036832145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036834345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036835963
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036839808
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036842730
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036842997
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1720036843358
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036843988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036844302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036846438
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036847663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036850475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036853742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036853774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036857615
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036865243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036872763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036877417
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036877727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036887258
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036888060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036890355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036892913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036899321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036900877
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036913491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036916508
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036918031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036920323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036922809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036940496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036942394
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720036942771
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720036945145
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720036945382
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720036949852
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720036969612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1720036973634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720036974969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720036976461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036978584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036981210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036988807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720036990703
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720036991078
